Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	La4	A4	305	305	1	4	667	50	96	ARANAÐME 	0.2
2	9	Re5	D5	327	327	1	8	333	95	96	.	0.3
3	9	Re5	D5	327	327	1	4	667	95	96	.	0.5
4	9	Re5	D5	327	327	1	8	333	95	96	.	0.6
5	9	Do5#4	C5#4	322	322	1	8	333	95	96	.	0.7
6	9	Re5	D5	327	327	3	8	1000	95	96	.	1
7	9	Re5	D5	327	327	1	8	333	95	96	.	1.1
8	9	Do5#4	C5#4	322	322	1	8	333	95	96	.	1.2
9	9	Re5	D5	327	327	1	8	333	95	96	.	1.3
10	9	Do5#4	C5#4	322	322	1	8	333	95	96	.	1.4
11	9	Si4b4	B4b4	310	310	1	8	333	95	96	.	1.5
12	9	Do5#4	C5#4	322	322	1	4	667	95	96	.	1.7
13	9	Si4b4	B4b4	310	310	1	4	667	95	96	.	1.9
14	9	La4	A4	305	305	1	8	333	95	96	.	2
15	9	La4	A4	305	305	1	4	667	95	96	.	2.2
16	9	La4	A4	305	305	1	8	333	95	96	.	2.3
17	9	Do5#4	C5#4	322	322	1	4	667	95	96	.	2.5
18	9	Si4b4	B4b4	310	310	1	4	667	95	96	.	2.7
19	9	Do5#4	C5#4	322	322	3	8	1000	95	96	.	3
20	9	La4	A4	305	305	1	4	667	95	96	.	3.2
21	9	Si4b4	B4b4	310	310	3	8	1000	95	96	.	3.5
22	9	La4	A4	305	305	1	2	1334	95	96	.	3.9
23	9			-1	-1	1	8	333	100	0		4
24	52			0	0	1	8	0	127	53		4.1
25	9	La4	A4	305	305	1	4	667	50	96	ARANAÐME 	4.3
26	9	Re5	D5	327	327	1	8	333	95	96	.	4.4
27	9	Re5	D5	327	327	1	4	667	95	96	.	4.6
28	9	Re5	D5	327	327	1	8	333	95	96	.	4.7
29	9	Do5#4	C5#4	322	322	1	8	333	95	96	.	4.8
30	9	Re5	D5	327	327	3	8	1000	95	96	.	5.1
31	9	Re5	D5	327	327	1	8	333	95	96	.	5.2
32	9	Do5#4	C5#4	322	322	1	8	333	95	96	.	5.3
33	9	Re5	D5	327	327	1	8	333	95	96	.	5.4
34	9	Do5#4	C5#4	322	322	1	8	333	95	96	.	5.5
35	9	Si4b4	B4b4	310	310	1	8	333	95	96	.	5.6
36	9	Do5#4	C5#4	322	322	1	4	667	95	96	.	5.8
37	9	Si4b4	B4b4	310	310	1	4	667	95	96	.	6
38	9	La4	A4	305	305	1	8	333	95	96	.	6.1
39	9	La4	A4	305	305	1	4	667	95	96	.	6.3
40	9	La4	A4	305	305	1	8	333	95	96	.	6.4
41	9	Do5#4	C5#4	322	322	1	4	667	95	96	.	6.6
42	9	Si4b4	B4b4	310	310	1	4	667	95	96	.	6.8
43	9	Do5#4	C5#4	322	322	3	8	1000	95	96	.	7.1
44	9	La4	A4	305	305	1	4	667	95	96	.	7.3
45	9	Si4b4	B4b4	310	310	3	8	1000	95	96	.	7.6
46	9	La4	A4	305	305	1	2	1334	95	96	.	8
47	9			-1	-1	1	8	333	100	0		8.1
48	9	La4	A4	305	305	1	4	667	95	96	Hýþ	8.3
49	9	La4	A4	305	305	1	8	333	95	96	hý	8.4
50	9	Re5	D5	327	327	1	4	667	95	96	þý 	8.6
51	9	Re5	D5	327	327	1	4	667	95	96	han	8.8
52	9	Re5	D5	327	327	1	4	667	95	96	çer 	9
53	9			-1	-1	1	8	333	100	0		9.1
54	9	Re5	D5	327	327	1	8	333	99	96	boy	9.2
55	9	Do5#4	C5#4	322	322	1	8	333	95	96		9.3
56	9	Re5	D5	327	327	1	8	333	95	96	nu	9.4
