Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	1	8	400	99	96	Ah 	0.05
2	9	Mi5	E5	336	336	5	8	2000	99	96		0.3
3	9	Mi5	E5	336	336	1	8	400	99	96		0.35
4	9	Fa5	F5	340	340	1	8	400	99	96		0.4
5	9	Mi5	E5	336	336	1	8	400	99	96		0.45
6	9	Re5	D5	327	327	1	8	400	95	96		0.5
7	9	Mi5	E5	336	336	1	16	200	99	96	hâl_	0.525
8	9	Re5	D5	327	327	1	16	200	99	96		0.55
9	9	Do5	C5	318	318	1	16	200	99	96		0.575
10	9	Re5	D5	327	327	1	16	200	99	96		0.6
11	9	Do5	C5	318	318	1	8	400	95	96		0.65
12	9	Re5	D5	327	327	1	8	400	95	96	i 	0.7
13	9	Mi5	E5	336	336	1	2	1600	95	96	ruh	0.9
14	9			-1	-1	1	4	800	100	0		1
15	9	Sol5	G5	349	349	3	16	600	99	96	sâ	1.075
16	9	Fa5	F5	340	340	1	16	200	99	96		1.1
17	9	Fa5	F5	340	340	3	16	600	99	96		1.175
18	9	Mi5	E5	336	336	1	16	200	99	96		1.2
19	9	Mi5	E5	336	336	3	16	600	99	96		1.275
20	9	Re5	D5	327	327	1	16	200	99	96		1.3
21	9	Re5	D5	327	327	1	8	400	99	96		1.35
22	9	Mi5	E5	336	336	1	8	400	99	96		1.4
23	9	Re5	D5	327	327	1	8	400	99	96		1.45
24	9	Do5	C5	318	318	1	8	400	95	96		1.5
25	9	Mi5b3	E5b4	333	332	1	8	400	99	96	rý	1.55
26	9	Re5	D5	327	327	1	8	400	95	96		1.6
27	9	Do5	C5	318	318	1	8	400	99	96	na 	1.65
28	9	Si4b1	B4b1	313	313	1	8	400	95	96		1.7
29	9	Si4b1	B4b1	313	313	1	8	400	99	96	necm_	1.75
30	9	Do5	C5	318	318	1	8	400	99	96		1.8
31	9	Si4b1	B4b1	313	313	1	8	400	99	96		1.85
32	9	La4	A4	305	305	1	8	400	99	96		1.9
33	9	La4	A4	305	305	1	4	800	95	96		2
34	9			-1	-1	1	4	800	100	0		2.1
35	9	La4	A4	305	305	1	8	400	99	96	i 	2.15
36	9	Si4b1	B4b1	313	313	1	8	400	99	96		2.2
37	9	Do5	C5	318	318	1	4	800	99	96		2.3
38	9	Re5	D5	327	327	1	8	400	99	96		2.35
39	9	Mi5	E5	336	336	1	4	800	99	96		2.45
40	9	Re5	D5	327	327	1	8	400	95	96		2.5
41	9	Mi5	E5	336	336	1	16	200	99	96	se	2.525
42	9	Re5	D5	327	327	1	16	200	99	96		2.55
43	9	Do5	C5	318	318	1	16	200	99	96		2.575
44	9	Re5	D5	327	327	1	16	200	99	96		2.6
45	9	Do5	C5	318	318	1	8	400	95	96		2.65
46	9	Re5	D5	327	327	1	16	200	99	96	her 	2.675
47	9	Mi5	E5	336	336	1	16	200	95	96		2.7
