Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa5#4	F5#4	344	344	1	4	1000	95	96	ARANAÐME 	0.2
2	9	Mi5#4	E5#4	340	340	1	16	250	95	96	.	0.25
3	9	Fa5#4	F5#4	344	344	1	16	250	95	96	.	0.3
4	9	Sol5	G5	349	349	1	8	500	95	96	.	0.4
5	9	La5	A5	358	358	1	16	250	95	96	.	0.45
6	9	Si5b1	B5b1	366	366	1	16	250	95	96	.	0.5
7	9	La5	A5	358	358	1	8	500	95	96	.	0.6
8	9	Sol5	G5	349	349	1	8	500	95	96	.	0.7
9	9	Fa5#4	F5#4	344	344	1	16	250	95	96	.	0.75
10	9	Sol5	G5	349	349	1	16	250	95	96	.	0.8
11	9	Fa5#4	F5#4	344	344	1	16	250	95	96	.	0.85
12	9	Mi5#4	E5#4	340	340	1	16	250	95	96	.	0.9
13	9	Re5	D5	327	327	1	16	250	95	96	.	0.95
14	9	Do5#4	C5#4	322	322	1	16	250	95	96	.	1
15	9	Re5	D5	327	327	1	16	250	95	96	.	1.05
16	9	Mi5#4	E5#4	340	340	1	16	250	95	96	.	1.1
17	9	Fa5#4	F5#4	344	344	1	16	250	95	96	.	1.15
18	9	Sol5	G5	349	349	1	16	250	95	96	.	1.2
19	9	La5	A5	358	358	1	16	250	95	96	.	1.25
20	9	Si5b1	B5b1	366	366	1	16	250	95	96	.	1.3
21	9	Do6	C6	371	371	1	8	500	95	96	.	1.4
22	9	Si5b1	B5b1	366	366	1	16	250	95	96	.	1.45
23	9	La5	A5	358	358	1	16	250	95	96	.	1.5
24	9	La5	A5	358	358	1	16	250	95	96	.	1.55
25	9	Sol5	G5	349	349	1	16	250	95	96	.	1.6
26	9	Fa5#4	F5#4	344	344	1	16	250	95	96	.	1.65
27	9	Mi5#4	E5#4	340	340	1	16	250	95	96	.	1.7
28	9	Fa5#4	F5#4	344	344	1	4	1000	95	96	.	1.9
29	9			-1	-1	1	8	500	100	0	.	2
30	9	Mi5#4	E5#4	340	340	1	16	250	95	96	.	2.05
31	9	Fa5#4	F5#4	344	344	1	16	250	95	96	.	2.1
32	9	Sol5	G5	349	349	1	8	500	95	96	.	2.2
33	9	Fa5#4	F5#4	344	344	1	8	500	95	96	.	2.3
34	9	Mi5#4	E5#4	340	340	1	8	500	95	96	.	2.4
35	9	Re5	D5	327	327	1	8	500	95	96	.	2.5
36	9	Do5#4	C5#4	322	322	1	16	250	95	96	.	2.55
37	9	Re5	D5	327	327	1	16	250	95	96	.	2.6
38	9	Mi5#4	E5#4	340	340	1	16	250	95	96	.	2.65
39	9	Fa5#4	F5#4	344	344	1	16	250	95	96	.	2.7
40	9	Mi5#4	E5#4	340	340	1	16	250	95	96	.	2.75
41	9	Re5	D5	327	327	1	16	250	95	96	.	2.8
42	9	Do5#4	C5#4	322	322	1	16	250	95	96	.	2.85
43	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	2.9
44	9	La4#4	A4#4	309	309	1	16	250	95	96	.	2.95
45	9	Sol4	G4	296	296	1	16	250	95	96	.	3
46	9	Fa4#4	F4#4	291	291	1	16	250	95	96	.	3.05
47	9	Sol4	G4	296	296	1	16	250	95	96	.	3.1
48	9	La4#4	A4#4	309	309	1	16	250	95	96	.	3.15
49	9	Si4b1	B4b1	313	313	1	16	250	95	96	.	3.2
50	9	Do5	C5	318	318	1	8	500	95	96	.	3.3
51	8	Re5	D5	327	327	0	0	0	95	96	.	3.3
52	9	Do5	C5	318	318	1	16	250	95	96	.	3.35
53	9	Si4b1	B4b1	313	313	1	8	500	95	96	.	3.45
54	9	La4#4	A4#4	309	309	1	16	250	95	96	.	3.5
55	9	La4#4	A4#4	309	309	1	16	250	95	96	.	3.55
56	9	Sol4	G4	296	296	1	16	250	95	96	.	3.6
57	9	Sol4	G4	296	296	1	16	250	95	96	.	3.65
58	9	Fa4#4	F4#4	291	291	1	16	250	95	96	.	3.7
59	9	Fa4#4	F4#4	291	291	1	4	1000	95	96	.	3.9
60	9			-1	-1	1	8	500	100	0		4
61	52			0	0	1	8	0	120	0		4.1
62	9	Fa5#4	F5#4	344	344	1	4	1000	95	96	ARANAÐME 	4.3
63	9	Mi5#4	E5#4	340	340	1	16	250	95	96	.	4.35
64	9	Fa5#4	F5#4	344	344	1	16	250	95	96	.	4.4
65	9	Sol5	G5	349	349	1	8	500	95	96	.	4.5
66	9	La5	A5	358	358	1	16	250	95	96	.	4.55
67	9	Si5b1	B5b1	366	366	1	16	250	95	96	.	4.6
68	9	La5	A5	358	358	1	8	500	95	96	.	4.7
69	9	Sol5	G5	349	349	1	8	500	95	96	.	4.8
70	9	Fa5#4	F5#4	344	344	1	16	250	95	96	.	4.85
71	9	Sol5	G5	349	349	1	16	250	95	96	.	4.9
72	9	Fa5#4	F5#4	344	344	1	16	250	95	96	.	4.95
73	9	Mi5#4	E5#4	340	340	1	16	250	95	96	.	5
74	9	Re5	D5	327	327	1	16	250	95	96	.	5.05
75	9	Do5#4	C5#4	322	322	1	16	250	95	96	.	5.1
76	9	Re5	D5	327	327	1	16	250	95	96	.	5.15
